"Stored Cards with Checkout.com","Checkout.com으로 저장된 카드"
"Pay by Card with Checkout.com","Checkout.com으로 카드 결제"
"Alternative Payments with Checkout.com","Checkout.com을 통한 대체 결제"
"Google Pay with Checkout.com","Checkout.com으로 Google Pay"
