"Stored Cards with Checkout.com","Cartes stockées avec Checkout.com"
"Pay by Card with Checkout.com","Payer par carte avec Checkout.com"
"Alternative Payments with Checkout.com","Paiements alternatifs avec Checkout.com"
"Google Pay with Checkout.com","Google Pay avec Checkout.com"
