card_expiry_month,"CC Expiration Month"
card_expiry_year,"CC Expiration Year"
card_last_4,"Last CC Numbers"
status,"Status"
responseMessage,"Response Message"
responseAdvancedInfo,"Response Advanced Info"
responseCode,"Response Code"
authCode,"Authorization Code"
three_d_secure,"3D Secure"
