"Stored Cards with Checkout.com","Opgeslagen kaarten met Checkout.com"
"Pay by Card with Checkout.com","Betaal met een kaart met Checkout.com"
"Alternative Payments with Checkout.com","Alternatieve betalingen met Checkout.com"
"Google Pay with Checkout.com","Google Pay met Checkout.com"
