"Stored Cards with Checkout.com","Carte memorizzate con Checkout.com"
"Pay by Card with Checkout.com","Paga con carta con Checkout.com"
"Alternative Payments with Checkout.com","Pagamenti alternativi con Checkout.com"
"Google Pay with Checkout.com","Google Pay con Checkout.com"
