"Stored Cards with Checkout.com","Tarjetas almacenadas con Checkout.com"
"Pay by Card with Checkout.com","Pague con tarjeta con Checkout.com"
"Alternative Payments with Checkout.com","Pagos alternativos con Checkout.com"
"Google Pay with Checkout.com","Google Pay con Checkout.com"
