"Stored Cards with Checkout.com","Gespeicherte Karten mit Checkout.com"
"Pay by Card with Checkout.com","Bezahlen Sie mit der Karte mit Checkout.com"
"Alternative Payments with Checkout.com","Alternative Zahlungen mit Checkout.com"
"Google Pay with Checkout.com","Google Pay mit Checkout.com"
